,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,Swap,light scratches , crack back-$80, crack back-$90, crack back-$60,demo-new -100 used-60,
,iPhone 16  128GB   Unlocked ,510,430,380,350,320,290,200,100,bad face id =D,
,iPhone 16  256GB   Unlocked ,590,510,450,420,390,360,260,150,bad carame -180,
,iPhone 16  512GB   Unlocked ,620,540,470,440,410,380,280,170,crack lens-60,
,iPhone 16  (Cricket-80) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,red message-50,
,iPhone 16 128GB Locked/flex/verizon,370,370,350,320,300,280,200,100,,
,iPhone 16 256GB Locked/flex/verizon,480,480,450,425,405,385,270,160,,
,iPhone 16 512GB Locked/flex/verizon,535,535,500,470,450,430,320,200,,
,,,,,,,,,,,
,iPhone 16e Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,Swap,light scratches , crack back-$80, crack back-$90, crack back-$60,demo-new -100 used-60,
,iPhone 16e  128GB   Unlocked ,360,270,240,220,200,180,120,50,bad face id =D,
,iPhone 16e  256GB   Unlocked ,450,380,310,290,270,250,180,80,bad carame -180,
,iPhone 16e  512GB   Unlocked ,540,460,340,320,300,280,200,100,crack lens-60,
,iPhone 16e  (Cricket-80) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,red message-50,
,iPhone 16e 128GB Locked/flex/verizon,215,215,190,165,145,125,80,30,,
,iPhone 16e 256GB Locked/flex/verizon,280,280,255,225,200,180,130,50,,
,iPhone 16e 512GB Locked/flex/verizon,320,320,290,260,230,210,150,60,,
,,,,,,,,,,,
,iPhone 15 Pro Max Unlocked ,sealed,opened,CPO /APPLE RFB,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,White Box/NA,swap,light scratches , crack back-$100, crack back-$100, crack back-$80,demo-new -100 used-60,
,iPhone 15 Pro Max 256GB Unlocked Natural,810,720,,,,,,,bad face id =D,
,iPhone 15 Pro Max 256GB Unlocked Others,800,710,Ask,630,590,560,450,250,bad carame -230,
,iPhone 15 Pro Max 512GB Unlocked Natural,890,800,,,,,,,crack lens-60,
,iPhone 15 Pro Max 512GB Unlocked Others,880,790,Ask,690,650,620,500,290,red message-50,
,iPhone 15 Pro Max 1TB. Unlocked Natural,930,840,,,,,,,,
,iPhone 15 Pro Max 1TB. Unlocked  other,920,830,Ask,730,690,670,530,320,,
,"iPhone 15 Pro Max Cricket-100, FLEX++30",sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 15 Pro Max 256GB US Spec Locked/flex /verizon,540,540,490,470,450,430,320,150,,
,iPhone 15 Pro Max 512GB US Spec Locked/flex/verizon,610,610,550,530,500,470,370,200,,
,iPhone 15 Pro Max 1TB   US Spec Locked/flex/verizon,660,660,580,560,530,500,400,220,,
,,,,,,,,,,,
